candidate,party,office,district,town,votes,precinct
Karen Dubois-Walton,Democratic Party,Treasurer,,Wethersfield,30,Emerson Williams School
Dominic Rapini,Republican Party,Secretary of the State,,Wethersfield,73,Emerson Williams School
Terrie E. Wood,Republican Party,Secretary of the State,,Wethersfield,55,Emerson Williams School
Leora R. Levy,Republican Party,U.S. Senate,,Wethersfield,66,Emerson Williams School
Peter Lumaj,Republican Party,U.S. Senate,,Wethersfield,19,Emerson Williams School
Themis Klarides,Republican Party,U.S. Senate,,Wethersfield,51,Emerson Williams School
Maritza Bond,Democratic Party,Secretary of the State,,Enfield,23,Enfield Municipal Annex
Maritza Bond,Democratic Party,Secretary of the State,,Enfield,40,Enfield Municipal Annex
Stephanie Thomas,Democratic Party,Secretary of the State,,Enfield,59,Enfield Municipal Annex
Stephanie Thomas,Democratic Party,Secretary of the State,,Enfield,104,Enfield Municipal Annex
Dita Bhargava,Democratic Party,Treasurer,,Enfield,23,Enfield Municipal Annex
Dita Bhargava,Democratic Party,Treasurer,,Enfield,40,Enfield Municipal Annex
Erick Russell,Democratic Party,Treasurer,,Enfield,46,Enfield Municipal Annex
Erick Russell,Democratic Party,Treasurer,,Enfield,68,Enfield Municipal Annex
Karen Dubois-Walton,Democratic Party,Treasurer,,Enfield,14,Enfield Municipal Annex
Karen Dubois-Walton,Democratic Party,Treasurer,,Enfield,34,Enfield Municipal Annex
Dominic Rapini,Republican Party,Secretary of the State,,Enfield,135,Enfield Municipal Annex
Dominic Rapini,Republican Party,Secretary of the State,,Enfield,36,Enfield Municipal Annex
Terrie E. Wood,Republican Party,Secretary of the State,,Enfield,39,Enfield Municipal Annex
Terrie E. Wood,Republican Party,Secretary of the State,,Enfield,92,Enfield Municipal Annex
Leora R. Levy,Republican Party,U.S. Senate,,Enfield,158,Enfield Municipal Annex
Leora R. Levy,Republican Party,U.S. Senate,,Enfield,47,Enfield Municipal Annex
Peter Lumaj,Republican Party,U.S. Senate,,Enfield,8,Enfield Municipal Annex
Peter Lumaj,Republican Party,U.S. Senate,,Enfield,22,Enfield Municipal Annex
Themis Klarides,Republican Party,U.S. Senate,,Enfield,59,Enfield Municipal Annex
Themis Klarides,Republican Party,U.S. Senate,,Enfield,23,Enfield Municipal Annex
Maritza Bond,Democratic Party,Secretary of the State,,Enfield,43,Enfield Street School
Stephanie Thomas,Democratic Party,Secretary of the State,,Enfield,117,Enfield Street School
Dita Bhargava,Democratic Party,Treasurer,,Enfield,35,Enfield Street School
Erick Russell,Democratic Party,Treasurer,,Enfield,91,Enfield Street School
Karen Dubois-Walton,Democratic Party,Treasurer,,Enfield,30,Enfield Street School
Dominic Rapini,Republican Party,Secretary of the State,,Enfield,79,Enfield Street School
Terrie E. Wood,Republican Party,Secretary of the State,,Enfield,55,Enfield Street School
Leora R. Levy,Republican Party,U.S. Senate,,Enfield,87,Enfield Street School
Peter Lumaj,Republican Party,U.S. Senate,,Enfield,17,Enfield Street School
Themis Klarides,Republican Party,U.S. Senate,,Enfield,35,Enfield Street School
Maritza Bond,Democratic Party,Secretary of the State,,Hartford,65,Environmental Sciences Magnet-Mary Hooker School
Stephanie Thomas,Democratic Party,Secretary of the State,,Hartford,94,Environmental Sciences Magnet-Mary Hooker School
Dita Bhargava,Democratic Party,Treasurer,,Hartford,25,Environmental Sciences Magnet-Mary Hooker School
Erick Russell,Democratic Party,Treasurer,,Hartford,90,Environmental Sciences Magnet-Mary Hooker School
Karen Dubois-Walton,Democratic Party,Treasurer,,Hartford,36,Environmental Sciences Magnet-Mary Hooker School
Dominic Rapini,Republican Party,Secretary of the State,,Hartford,6,Environmental Sciences Magnet-Mary Hooker School
Terrie E. Wood,Republican Party,Secretary of the State,,Hartford,3,Environmental Sciences Magnet-Mary Hooker School
Leora R. Levy,Republican Party,U.S. Senate,,Hartford,5,Environmental Sciences Magnet-Mary Hooker School
Peter Lumaj,Republican Party,U.S. Senate,,Hartford,2,Environmental Sciences Magnet-Mary Hooker School
Themis Klarides,Republican Party,U.S. Senate,,Hartford,3,Environmental Sciences Magnet-Mary Hooker School
Maritza Bond,Democratic Party,Secretary of the State,,Essex,63,Essex Town Hall 01
Stephanie Thomas,Democratic Party,Secretary of the State,,Essex,347,Essex Town Hall 01
Dita Bhargava,Democratic Party,Treasurer,,Essex,103,Essex Town Hall 01
Erick Russell,Democratic Party,Treasurer,,Essex,252,Essex Town Hall 01
Karen Dubois-Walton,Democratic Party,Treasurer,,Essex,54,Essex Town Hall 01
Dominic Rapini,Republican Party,Secretary of the State,,Essex,172,Essex Town Hall 01
Terrie E. Wood,Republican Party,Secretary of the State,,Essex,97,Essex Town Hall 01
Leora R. Levy,Republican Party,U.S. Senate,,Essex,126,Essex Town Hall 01
Peter Lumaj,Republican Party,U.S. Senate,,Essex,21,Essex Town Hall 01
Themis Klarides,Republican Party,U.S. Senate,,Essex,142,Essex Town Hall 01
Maritza Bond,Democratic Party,Secretary of the State,,Wallingford,46,Evarts C. Stevens School
Stephanie Thomas,Democratic Party,Secretary of the State,,Wallingford,105,Evarts C. Stevens School
Dita Bhargava,Democratic Party,Treasurer,,Wallingford,23,Evarts C. Stevens School
Erick Russell,Democratic Party,Treasurer,,Wallingford,101,Evarts C. Stevens School
Karen Dubois-Walton,Democratic Party,Treasurer,,Wallingford,26,Evarts C. Stevens School
Dominic Rapini,Republican Party,Secretary of the State,,Wallingford,73,Evarts C. Stevens School
Terrie E. Wood,Republican Party,Secretary of the State,,Wallingford,32,Evarts C. Stevens School
Leora R. Levy,Republican Party,U.S. Senate,,Wallingford,65,Evarts C. Stevens School
Peter Lumaj,Republican Party,U.S. Senate,,Wallingford,13,Evarts C. Stevens School
Themis Klarides,Republican Party,U.S. Senate,,Wallingford,34,Evarts C. Stevens School
Maritza Bond,Democratic Party,Secretary of the State,,Fairfield,25,Fairfield Ludlowe High School
Stephanie Thomas,Democratic Party,Secretary of the State,,Fairfield,135,Fairfield Ludlowe High School
Dita Bhargava,Democratic Party,Treasurer,,Fairfield,38,Fairfield Ludlowe High School
Erick Russell,Democratic Party,Treasurer,,Fairfield,103,Fairfield Ludlowe High School
Karen Dubois-Walton,Democratic Party,Treasurer,,Fairfield,21,Fairfield Ludlowe High School
Dominic Rapini,Republican Party,Secretary of the State,,Fairfield,99,Fairfield Ludlowe High School
Terrie E. Wood,Republican Party,Secretary of the State,,Fairfield,59,Fairfield Ludlowe High School
Jayme Stevenson,Republican Party,U.S. House,4,Fairfield,105,Fairfield Ludlowe High School
Michael Ted Goldstein,Republican Party,U.S. House,4,Fairfield,53,Fairfield Ludlowe High School
Leora R. Levy,Republican Party,U.S. Senate,,Fairfield,55,Fairfield Ludlowe High School
Peter Lumaj,Republican Party,U.S. Senate,,Fairfield,23,Fairfield Ludlowe High School
Themis Klarides,Republican Party,U.S. Senate,,Fairfield,87,Fairfield Ludlowe High School
Maritza Bond,Democratic Party,Secretary of the State,,Fairfield,39,Fairfield Warde High School
Stephanie Thomas,Democratic Party,Secretary of the State,,Fairfield,146,Fairfield Warde High School
Dita Bhargava,Democratic Party,Treasurer,,Fairfield,50,Fairfield Warde High School
Erick Russell,Democratic Party,Treasurer,,Fairfield,110,Fairfield Warde High School
Karen Dubois-Walton,Democratic Party,Treasurer,,Fairfield,27,Fairfield Warde High School
Dominic Rapini,Republican Party,Secretary of the State,,Fairfield,79,Fairfield Warde High School
Terrie E. Wood,Republican Party,Secretary of the State,,Fairfield,46,Fairfield Warde High School
Jayme Stevenson,Republican Party,U.S. House,4,Fairfield,80,Fairfield Warde High School
Michael Ted Goldstein,Republican Party,U.S. House,4,Fairfield,47,Fairfield Warde High School
Leora R. Levy,Republican Party,U.S. Senate,,Fairfield,61,Fairfield Warde High School
Peter Lumaj,Republican Party,U.S. Senate,,Fairfield,16,Fairfield Warde High School
Themis Klarides,Republican Party,U.S. Senate,,Fairfield,50,Fairfield Warde High School
Maritza Bond,Democratic Party,Secretary of the State,,Fairfield,17,Fairfield Woods Middle School
Stephanie Thomas,Democratic Party,Secretary of the State,,Fairfield,82,Fairfield Woods Middle School
Dita Bhargava,Democratic Party,Treasurer,,Fairfield,28,Fairfield Woods Middle School
Erick Russell,Democratic Party,Treasurer,,Fairfield,54,Fairfield Woods Middle School
Karen Dubois-Walton,Democratic Party,Treasurer,,Fairfield,17,Fairfield Woods Middle School
Dominic Rapini,Republican Party,Secretary of the State,,Fairfield,48,Fairfield Woods Middle School
Terrie E. Wood,Republican Party,Secretary of the State,,Fairfield,38,Fairfield Woods Middle School
Jayme Stevenson,Republican Party,U.S. House,4,Fairfield,54,Fairfield Woods Middle School
Michael Ted Goldstein,Republican Party,U.S. House,4,Fairfield,32,Fairfield Woods Middle School
Leora R. Levy,Republican Party,U.S. Senate,,Fairfield,39,Fairfield Woods Middle School
Peter Lumaj,Republican Party,U.S. Senate,,Fairfield,7,Fairfield Woods Middle School
Themis Klarides,Republican Party,U.S. Senate,,Fairfield,44,Fairfield Woods Middle School
Maritza Bond,Democratic Party,Secretary of the State,,Farmington,4,Farmington Police Station - District 2 Precinct 5
Stephanie Thomas,Democratic Party,Secretary of the State,,Farmington,35,Farmington Police Station - District 2 Precinct 5
Dita Bhargava,Democratic Party,Treasurer,,Farmington,11,Farmington Police Station - District 2 Precinct 5
Erick Russell,Democratic Party,Treasurer,,Farmington,22,Farmington Police Station - District 2 Precinct 5
Karen Dubois-Walton,Democratic Party,Treasurer,,Farmington,6,Farmington Police Station - District 2 Precinct 5
Dominic Rapini,Republican Party,Secretary of the State,,Farmington,24,Farmington Police Station - District 2 Precinct 5
Terrie E. Wood,Republican Party,Secretary of the State,,Farmington,31,Farmington Police Station - District 2 Precinct 5
Leora R. Levy,Republican Party,U.S. Senate,,Farmington,35,Farmington Police Station - District 2 Precinct 5
Peter Lumaj,Republican Party,U.S. Senate,,Farmington,4,Farmington Police Station - District 2 Precinct 5
Themis Klarides,Republican Party,U.S. Senate,,Farmington,21,Farmington Police Station - District 2 Precinct 5
Maritza Bond,Democratic Party,Secretary of the State,,Monroe,36,Fawn Hollow School
Stephanie Thomas,Democratic Party,Secretary of the State,,Monroe,115,Fawn Hollow School
Dita Bhargava,Democratic Party,Treasurer,,Monroe,49,Fawn Hollow School
Erick Russell,Democratic Party,Treasurer,,Monroe,86,Fawn Hollow School
Karen Dubois-Walton,Democratic Party,Treasurer,,Monroe,16,Fawn Hollow School
Dominic Rapini,Republican Party,Secretary of the State,,Monroe,102,Fawn Hollow School
Terrie E. Wood,Republican Party,Secretary of the State,,Monroe,97,Fawn Hollow School
Jayme Stevenson,Republican Party,U.S. House,4,Monroe,113,Fawn Hollow School
Michael Ted Goldstein,Republican Party,U.S. House,4,Monroe,88,Fawn Hollow School
Leora R. Levy,Republican Party,U.S. Senate,,Monroe,95,Fawn Hollow School
Peter Lumaj,Republican Party,U.S. Senate,,Monroe,27,Fawn Hollow School
Themis Klarides,Republican Party,U.S. Senate,,Monroe,81,Fawn Hollow School
Maritza Bond,Democratic Party,Secretary of the State,,Middletown,11,Fayerweather Beckham Hall District 8
Stephanie Thomas,Democratic Party,Secretary of the State,,Middletown,32,Fayerweather Beckham Hall District 8
Dita Bhargava,Democratic Party,Treasurer,,Middletown,12,Fayerweather Beckham Hall District 8
Erick Russell,Democratic Party,Treasurer,,Middletown,21,Fayerweather Beckham Hall District 8
Karen Dubois-Walton,Democratic Party,Treasurer,,Middletown,10,Fayerweather Beckham Hall District 8
Dominic Rapini,Republican Party,Secretary of the State,,Middletown,9,Fayerweather Beckham Hall District 8
Terrie E. Wood,Republican Party,Secretary of the State,,Middletown,5,Fayerweather Beckham Hall District 8
Leora R. Levy,Republican Party,U.S. Senate,,Middletown,12,Fayerweather Beckham Hall District 8
Peter Lumaj,Republican Party,U.S. Senate,,Middletown,2,Fayerweather Beckham Hall District 8
Themis Klarides,Republican Party,U.S. Senate,,Middletown,0,Fayerweather Beckham Hall District 8
Maritza Bond,Democratic Party,Secretary of the State,,Bozrah,23,Fields Memorial School
Stephanie Thomas,Democratic Party,Secretary of the State,,Bozrah,71,Fields Memorial School
Dita Bhargava,Democratic Party,Treasurer,,Bozrah,19,Fields Memorial School
Erick Russell,Democratic Party,Treasurer,,Bozrah,56,Fields Memorial School
Karen Dubois-Walton,Democratic Party,Treasurer,,Bozrah,20,Fields Memorial School
Dominic Rapini,Republican Party,Secretary of the State,,Bozrah,66,Fields Memorial School
Terrie E. Wood,Republican Party,Secretary of the State,,Bozrah,41,Fields Memorial School
Leora R. Levy,Republican Party,U.S. Senate,,Bozrah,54,Fields Memorial School
Peter Lumaj,Republican Party,U.S. Senate,,Bozrah,24,Fields Memorial School
Themis Klarides,Republican Party,U.S. Senate,,Bozrah,31,Fields Memorial School
Maritza Bond,Democratic Party,Secretary of the State,,Lebanon,27,Fire Safety Complex D1
Stephanie Thomas,Democratic Party,Secretary of the State,,Lebanon,93,Fire Safety Complex D1
Dita Bhargava,Democratic Party,Treasurer,,Lebanon,27,Fire Safety Complex D1
Erick Russell,Democratic Party,Treasurer,,Lebanon,76,Fire Safety Complex D1
Karen Dubois-Walton,Democratic Party,Treasurer,,Lebanon,18,Fire Safety Complex D1
Dominic Rapini,Republican Party,Secretary of the State,,Lebanon,134,Fire Safety Complex D1
Terrie E. Wood,Republican Party,Secretary of the State,,Lebanon,67,Fire Safety Complex D1
Leora R. Levy,Republican Party,U.S. Senate,,Lebanon,108,Fire Safety Complex D1
Peter Lumaj,Republican Party,U.S. Senate,,Lebanon,54,Fire Safety Complex D1
Themis Klarides,Republican Party,U.S. Senate,,Lebanon,54,Fire Safety Complex D1
Maritza Bond,Democratic Party,Secretary of the State,,Lebanon,26,Fire Safety Complex D2
Stephanie Thomas,Democratic Party,Secretary of the State,,Lebanon,57,Fire Safety Complex D2
Dita Bhargava,Democratic Party,Treasurer,,Lebanon,20,Fire Safety Complex D2
Erick Russell,Democratic Party,Treasurer,,Lebanon,47,Fire Safety Complex D2
Karen Dubois-Walton,Democratic Party,Treasurer,,Lebanon,16,Fire Safety Complex D2
Dominic Rapini,Republican Party,Secretary of the State,,Lebanon,62,Fire Safety Complex D2
Terrie E. Wood,Republican Party,Secretary of the State,,Lebanon,55,Fire Safety Complex D2
Leora R. Levy,Republican Party,U.S. Senate,,Lebanon,78,Fire Safety Complex D2
Peter Lumaj,Republican Party,U.S. Senate,,Lebanon,17,Fire Safety Complex D2
Themis Klarides,Republican Party,U.S. Senate,,Lebanon,31,Fire Safety Complex D2
Maritza Bond,Democratic Party,Secretary of the State,,New Haven,71,Firehouse Ellsworth
Stephanie Thomas,Democratic Party,Secretary of the State,,New Haven,88,Firehouse Ellsworth
Dita Bhargava,Democratic Party,Treasurer,,New Haven,15,Firehouse Ellsworth
Erick Russell,Democratic Party,Treasurer,,New Haven,82,Firehouse Ellsworth
Karen Dubois-Walton,Democratic Party,Treasurer,,New Haven,71,Firehouse Ellsworth
Dominic Rapini,Republican Party,Secretary of the State,,New Haven,0,Firehouse Ellsworth
Terrie E. Wood,Republican Party,Secretary of the State,,New Haven,3,Firehouse Ellsworth
Leora R. Levy,Republican Party,U.S. Senate,,New Haven,1,Firehouse Ellsworth
Peter Lumaj,Republican Party,U.S. Senate,,New Haven,1,Firehouse Ellsworth
Themis Klarides,Republican Party,U.S. Senate,,New Haven,1,Firehouse Ellsworth
Maritza Bond,Democratic Party,Secretary of the State,,New Haven,87,Firehouse Woodward
Stephanie Thomas,Democratic Party,Secretary of the State,,New Haven,68,Firehouse Woodward
Dita Bhargava,Democratic Party,Treasurer,,New Haven,16,Firehouse Woodward
Erick Russell,Democratic Party,Treasurer,,New Haven,78,Firehouse Woodward
Karen Dubois-Walton,Democratic Party,Treasurer,,New Haven,58,Firehouse Woodward
Dominic Rapini,Republican Party,Secretary of the State,,New Haven,19,Firehouse Woodward
Terrie E. Wood,Republican Party,Secretary of the State,,New Haven,11,Firehouse Woodward
Leora R. Levy,Republican Party,U.S. Senate,,New Haven,25,Firehouse Woodward
Peter Lumaj,Republican Party,U.S. Senate,,New Haven,1,Firehouse Woodward
Themis Klarides,Republican Party,U.S. Senate,,New Haven,8,Firehouse Woodward
Maritza Bond,Democratic Party,Secretary of the State,,Scotland,15,Firehouse/community Center
Stephanie Thomas,Democratic Party,Secretary of the State,,Scotland,20,Firehouse/community Center
Dita Bhargava,Democratic Party,Treasurer,,Scotland,13,Firehouse/community Center
Erick Russell,Democratic Party,Treasurer,,Scotland,19,Firehouse/community Center
Karen Dubois-Walton,Democratic Party,Treasurer,,Scotland,3,Firehouse/community Center
Dominic Rapini,Republican Party,Secretary of the State,,Scotland,52,Firehouse/community Center
Terrie E. Wood,Republican Party,Secretary of the State,,Scotland,17,Firehouse/community Center
Leora R. Levy,Republican Party,U.S. Senate,,Scotland,29,Firehouse/community Center
Peter Lumaj,Republican Party,U.S. Senate,,Scotland,23,Firehouse/community Center
Themis Klarides,Republican Party,U.S. Senate,,Scotland,21,Firehouse/community Center
Maritza Bond,Democratic Party,Secretary of the State,,West Haven,94,Forest School
Stephanie Thomas,Democratic Party,Secretary of the State,,West Haven,184,Forest School
Joseph Miller,Democratic Party,State House,116,West Haven,123,Forest School
Trenee McGee,Democratic Party,State House,116,West Haven,161,Forest School
Dita Bhargava,Democratic Party,Treasurer,,West Haven,44,Forest School
Erick Russell,Democratic Party,Treasurer,,West Haven,162,Forest School
Karen Dubois-Walton,Democratic Party,Treasurer,,West Haven,81,Forest School
Dominic Rapini,Republican Party,Secretary of the State,,West Haven,36,Forest School
Terrie E. Wood,Republican Party,Secretary of the State,,West Haven,19,Forest School
Leora R. Levy,Republican Party,U.S. Senate,,West Haven,36,Forest School
Peter Lumaj,Republican Party,U.S. Senate,,West Haven,2,Forest School
Themis Klarides,Republican Party,U.S. Senate,,West Haven,25,Forest School
Maritza Bond,Democratic Party,Secretary of the State,,Stonington,33,Former Pawcatuck Middle School
Stephanie Thomas,Democratic Party,Secretary of the State,,Stonington,113,Former Pawcatuck Middle School
Dita Bhargava,Democratic Party,Treasurer,,Stonington,44,Former Pawcatuck Middle School
Erick Russell,Democratic Party,Treasurer,,Stonington,72,Former Pawcatuck Middle School
Karen Dubois-Walton,Democratic Party,Treasurer,,Stonington,30,Former Pawcatuck Middle School
Dominic Rapini,Republican Party,Secretary of the State,,Stonington,36,Former Pawcatuck Middle School
Terrie E. Wood,Republican Party,Secretary of the State,,Stonington,46,Former Pawcatuck Middle School
Leora R. Levy,Republican Party,U.S. Senate,,Stonington,47,Former Pawcatuck Middle School
Peter Lumaj,Republican Party,U.S. Senate,,Stonington,2,Former Pawcatuck Middle School
Themis Klarides,Republican Party,U.S. Senate,,Stonington,41,Former Pawcatuck Middle School
Maritza Bond,Democratic Party,Secretary of the State,,Norwalk,39,Fox Run School
Stephanie Thomas,Democratic Party,Secretary of the State,,Norwalk,249,Fox Run School
Dita Bhargava,Democratic Party,Treasurer,,Norwalk,102,Fox Run School
Erick Russell,Democratic Party,Treasurer,,Norwalk,138,Fox Run School
Karen Dubois-Walton,Democratic Party,Treasurer,,Norwalk,47,Fox Run School
Dominic Rapini,Republican Party,Secretary of the State,,Norwalk,73,Fox Run School
Terrie E. Wood,Republican Party,Secretary of the State,,Norwalk,111,Fox Run School
Jayme Stevenson,Republican Party,U.S. House,4,Norwalk,118,Fox Run School
Michael Ted Goldstein,Republican Party,U.S. House,4,Norwalk,69,Fox Run School
Leora R. Levy,Republican Party,U.S. Senate,,Norwalk,89,Fox Run School
Peter Lumaj,Republican Party,U.S. Senate,,Norwalk,19,Fox Run School
Themis Klarides,Republican Party,U.S. Senate,,Norwalk,82,Fox Run School
Maritza Bond,Democratic Party,Secretary of the State,,Branford,38,Francis Walsh Intermediate School
Stephanie Thomas,Democratic Party,Secretary of the State,,Branford,124,Francis Walsh Intermediate School
Andy Gottlieb,Democratic Party,State House,98,Branford,46,Francis Walsh Intermediate School
Moira Rader,Democratic Party,State House,98,Branford,115,Francis Walsh Intermediate School
Dita Bhargava,Democratic Party,Treasurer,,Branford,24,Francis Walsh Intermediate School
Erick Russell,Democratic Party,Treasurer,,Branford,103,Francis Walsh Intermediate School
Karen Dubois-Walton,Democratic Party,Treasurer,,Branford,37,Francis Walsh Intermediate School
Dominic Rapini,Republican Party,Secretary of the State,,Branford,72,Francis Walsh Intermediate School
Terrie E. Wood,Republican Party,Secretary of the State,,Branford,21,Francis Walsh Intermediate School
Leora R. Levy,Republican Party,U.S. Senate,,Branford,41,Francis Walsh Intermediate School
Peter Lumaj,Republican Party,U.S. Senate,,Branford,11,Francis Walsh Intermediate School
Themis Klarides,Republican Party,U.S. Senate,,Branford,44,Francis Walsh Intermediate School
Maritza Bond,Democratic Party,Secretary of the State,,Bethel,42,Frank A Berry School - 3
Stephanie Thomas,Democratic Party,Secretary of the State,,Bethel,181,Frank A Berry School - 3
Dita Bhargava,Democratic Party,Treasurer,,Bethel,87,Frank A Berry School - 3
Erick Russell,Democratic Party,Treasurer,,Bethel,109,Frank A Berry School - 3
Karen Dubois-Walton,Democratic Party,Treasurer,,Bethel,28,Frank A Berry School - 3
Dominic Rapini,Republican Party,Secretary of the State,,Bethel,135,Frank A Berry School - 3
Terrie E. Wood,Republican Party,Secretary of the State,,Bethel,83,Frank A Berry School - 3
Leora R. Levy,Republican Party,U.S. Senate,,Bethel,122,Frank A Berry School - 3
Peter Lumaj,Republican Party,U.S. Senate,,Bethel,29,Frank A Berry School - 3
Themis Klarides,Republican Party,U.S. Senate,,Bethel,74,Frank A Berry School - 3
Maritza Bond,Democratic Party,Secretary of the State,,Stratford,21,Franklin School 121 23
Stephanie Thomas,Democratic Party,Secretary of the State,,Stratford,69,Franklin School 121 23
Dennis Bradley,Democratic Party,State Senate,23,Stratford,15,Franklin School 121 23
Herron Gaston,Democratic Party,State Senate,23,Stratford,35,Franklin School 121 23
Dita Bhargava,Democratic Party,Treasurer,,Stratford,20,Franklin School 121 23
Erick Russell,Democratic Party,Treasurer,,Stratford,52,Franklin School 121 23
Karen Dubois-Walton,Democratic Party,Treasurer,,Stratford,19,Franklin School 121 23
Maritza Bond,Democratic Party,Secretary of the State,,Stratford,10,Franklin School 4th
Stephanie Thomas,Democratic Party,Secretary of the State,,Stratford,32,Franklin School 4th
Dita Bhargava,Democratic Party,Treasurer,,Stratford,10,Franklin School 4th
Erick Russell,Democratic Party,Treasurer,,Stratford,22,Franklin School 4th
Karen Dubois-Walton,Democratic Party,Treasurer,,Stratford,9,Franklin School 4th
Dominic Rapini,Republican Party,Secretary of the State,,Stratford,19,Franklin School 4th
Terrie E. Wood,Republican Party,Secretary of the State,,Stratford,14,Franklin School 4th
Leora R. Levy,Republican Party,U.S. Senate,,Stratford,19,Franklin School 4th
Peter Lumaj,Republican Party,U.S. Senate,,Stratford,2,Franklin School 4th
Themis Klarides,Republican Party,U.S. Senate,,Stratford,12,Franklin School 4th
Maritza Bond,Democratic Party,Secretary of the State,,Franklin,12,Franklin Town Hall
Stephanie Thomas,Democratic Party,Secretary of the State,,Franklin,38,Franklin Town Hall
Dita Bhargava,Democratic Party,Treasurer,,Franklin,13,Franklin Town Hall
Erick Russell,Democratic Party,Treasurer,,Franklin,29,Franklin Town Hall
Karen Dubois-Walton,Democratic Party,Treasurer,,Franklin,9,Franklin Town Hall
Dominic Rapini,Republican Party,Secretary of the State,,Franklin,43,Franklin Town Hall
Terrie E. Wood,Republican Party,Secretary of the State,,Franklin,27,Franklin Town Hall
Leora R. Levy,Republican Party,U.S. Senate,,Franklin,40,Franklin Town Hall
Peter Lumaj,Republican Party,U.S. Senate,,Franklin,10,Franklin Town Hall
Themis Klarides,Republican Party,U.S. Senate,,Franklin,27,Franklin Town Hall
Maritza Bond,Democratic Party,Secretary of the State,,Trumbull,18,Frenchtown School 134
Stephanie Thomas,Democratic Party,Secretary of the State,,Trumbull,106,Frenchtown School 134
Dita Bhargava,Democratic Party,Treasurer,,Trumbull,27,Frenchtown School 134
Erick Russell,Democratic Party,Treasurer,,Trumbull,74,Frenchtown School 134
Karen Dubois-Walton,Democratic Party,Treasurer,,Trumbull,25,Frenchtown School 134
Dominic Rapini,Republican Party,Secretary of the State,,Trumbull,96,Frenchtown School 134
Terrie E. Wood,Republican Party,Secretary of the State,,Trumbull,60,Frenchtown School 134
Jayme Stevenson,Republican Party,U.S. House,4,Trumbull,86,Frenchtown School 134
Michael Ted Goldstein,Republican Party,U.S. House,4,Trumbull,75,Frenchtown School 134
Leora R. Levy,Republican Party,U.S. Senate,,Trumbull,101,Frenchtown School 134
Peter Lumaj,Republican Party,U.S. Senate,,Trumbull,11,Frenchtown School 134
Themis Klarides,Republican Party,U.S. Senate,,Trumbull,54,Frenchtown School 134
Maritza Bond,Democratic Party,Secretary of the State,,New Britain,25,Gaffney School
Stephanie Thomas,Democratic Party,Secretary of the State,,New Britain,50,Gaffney School
Dita Bhargava,Democratic Party,Treasurer,,New Britain,17,Gaffney School
Erick Russell,Democratic Party,Treasurer,,New Britain,44,Gaffney School
Karen Dubois-Walton,Democratic Party,Treasurer,,New Britain,14,Gaffney School
Dominic Rapini,Republican Party,Secretary of the State,,New Britain,15,Gaffney School
Terrie E. Wood,Republican Party,Secretary of the State,,New Britain,10,Gaffney School
Leora R. Levy,Republican Party,U.S. Senate,,New Britain,12,Gaffney School
Peter Lumaj,Republican Party,U.S. Senate,,New Britain,3,Gaffney School
Themis Klarides,Republican Party,U.S. Senate,,New Britain,14,Gaffney School
Maritza Bond,Democratic Party,Secretary of the State,,Ledyard,21,Gallup Hill School
Stephanie Thomas,Democratic Party,Secretary of the State,,Ledyard,112,Gallup Hill School
Dita Bhargava,Democratic Party,Treasurer,,Ledyard,38,Gallup Hill School
Erick Russell,Democratic Party,Treasurer,,Ledyard,70,Gallup Hill School
Karen Dubois-Walton,Democratic Party,Treasurer,,Ledyard,25,Gallup Hill School
Dominic Rapini,Republican Party,Secretary of the State,,Ledyard,107,Gallup Hill School
Terrie E. Wood,Republican Party,Secretary of the State,,Ledyard,103,Gallup Hill School
Leora R. Levy,Republican Party,U.S. Senate,,Ledyard,109,Gallup Hill School
Peter Lumaj,Republican Party,U.S. Senate,,Ledyard,26,Gallup Hill School
Themis Klarides,Republican Party,U.S. Senate,,Ledyard,79,Gallup Hill School
Maritza Bond,Democratic Party,Secretary of the State,,New Milford,5,Gaylordsville Fire House
Stephanie Thomas,Democratic Party,Secretary of the State,,New Milford,23,Gaylordsville Fire House
Dita Bhargava,Democratic Party,Treasurer,,New Milford,13,Gaylordsville Fire House
Erick Russell,Democratic Party,Treasurer,,New Milford,13,Gaylordsville Fire House
Karen Dubois-Walton,Democratic Party,Treasurer,,New Milford,3,Gaylordsville Fire House
Dominic Rapini,Republican Party,Secretary of the State,,New Milford,11,Gaylordsville Fire House
Terrie E. Wood,Republican Party,Secretary of the State,,New Milford,14,Gaylordsville Fire House
Leora R. Levy,Republican Party,U.S. Senate,,New Milford,17,Gaylordsville Fire House
Peter Lumaj,Republican Party,U.S. Senate,,New Milford,1,Gaylordsville Fire House
Themis Klarides,Republican Party,U.S. Senate,,New Milford,9,Gaylordsville Fire House
Maritza Bond,Democratic Party,Secretary of the State,,New Britain,13,Generale Ameglio Society
Stephanie Thomas,Democratic Party,Secretary of the State,,New Britain,31,Generale Ameglio Society
Dita Bhargava,Democratic Party,Treasurer,,New Britain,6,Generale Ameglio Society
Erick Russell,Democratic Party,Treasurer,,New Britain,24,Generale Ameglio Society
Karen Dubois-Walton,Democratic Party,Treasurer,,New Britain,12,Generale Ameglio Society
Dominic Rapini,Republican Party,Secretary of the State,,New Britain,9,Generale Ameglio Society
Terrie E. Wood,Republican Party,Secretary of the State,,New Britain,4,Generale Ameglio Society
Leora R. Levy,Republican Party,U.S. Senate,,New Britain,6,Generale Ameglio Society
