candidate,party,office,district,town,votes,precinct
Clinton and Kaine,Democratic Party,President,,Greenwich,1457,Bendheim Western Greenwich Civic Center
Trump and Pence,Republican Party,President,,Greenwich,1261,Bendheim Western Greenwich Civic Center
Johnson and Weld,Libertarian Party,President,,Greenwich,66,Bendheim Western Greenwich Civic Center
Stein and Baraka,Green Party,President,,Greenwich,20,Bendheim Western Greenwich Civic Center
Basiago and Kinnison,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Blumenthal and Blair,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Buchanan and Washington,Write-In,President,,Greenwich,1,Bendheim Western Greenwich Civic Center
Castle and Bradley,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Cooper and Meyer,Write-In,President,,Greenwich,1,Bendheim Western Greenwich Civic Center
Cummings and Romanoff,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Deame and Long,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Evans and Fitch,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Fox and Kushner,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Hoefling and Schulin,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
La Riva and Puryear,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Maldonado and Terranova,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
McMullin and Johnson,Write-In,President,,Greenwich,1,Bendheim Western Greenwich Civic Center
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Skewes and Lacy,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Smith and White,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Wu and Wu,Write-In,President,,Greenwich,0,Bendheim Western Greenwich Civic Center
Clinton and Kaine,Democratic Party,President,,Greenwich,1915,Central Middle School
Trump and Pence,Republican Party,President,,Greenwich,1478,Central Middle School
Johnson and Weld,Libertarian Party,President,,Greenwich,108,Central Middle School
Stein and Baraka,Green Party,President,,Greenwich,37,Central Middle School
Basiago and Kinnison,Write-In,President,,Greenwich,0,Central Middle School
Blumenthal and Blair,Write-In,President,,Greenwich,0,Central Middle School
Buchanan and Washington,Write-In,President,,Greenwich,0,Central Middle School
Castle and Bradley,Write-In,President,,Greenwich,0,Central Middle School
Cooper and Meyer,Write-In,President,,Greenwich,0,Central Middle School
Cummings and Romanoff,Write-In,President,,Greenwich,0,Central Middle School
Deame and Long,Write-In,President,,Greenwich,0,Central Middle School
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,Central Middle School
Evans and Fitch,Write-In,President,,Greenwich,0,Central Middle School
Fox and Kushner,Write-In,President,,Greenwich,0,Central Middle School
Hoefling and Schulin,Write-In,President,,Greenwich,0,Central Middle School
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,Central Middle School
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,Central Middle School
La Riva and Puryear,Write-In,President,,Greenwich,0,Central Middle School
Maldonado and Terranova,Write-In,President,,Greenwich,0,Central Middle School
McMullin and Johnson,Write-In,President,,Greenwich,0,Central Middle School
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,Central Middle School
Skewes and Lacy,Write-In,President,,Greenwich,0,Central Middle School
Smith and White,Write-In,President,,Greenwich,0,Central Middle School
Wu and Wu,Write-In,President,,Greenwich,0,Central Middle School
Clinton and Kaine,Democratic Party,President,,Greenwich,15,Glenville School
Clinton and Kaine,Democratic Party,President,,Greenwich,1355,Glenville School
Trump and Pence,Republican Party,President,,Greenwich,7,Glenville School
Trump and Pence,Republican Party,President,,Greenwich,1201,Glenville School
Johnson and Weld,Libertarian Party,President,,Greenwich,0,Glenville School
Johnson and Weld,Libertarian Party,President,,Greenwich,97,Glenville School
Stein and Baraka,Green Party,President,,Greenwich,0,Glenville School
Stein and Baraka,Green Party,President,,Greenwich,29,Glenville School
Basiago and Kinnison,Write-In,President,,Greenwich,0,Glenville School
Basiago and Kinnison,Write-In,President,,Greenwich,0,Glenville School
Blumenthal and Blair,Write-In,President,,Greenwich,0,Glenville School
Blumenthal and Blair,Write-In,President,,Greenwich,0,Glenville School
Buchanan and Washington,Write-In,President,,Greenwich,0,Glenville School
Buchanan and Washington,Write-In,President,,Greenwich,0,Glenville School
Castle and Bradley,Write-In,President,,Greenwich,0,Glenville School
Castle and Bradley,Write-In,President,,Greenwich,0,Glenville School
Cooper and Meyer,Write-In,President,,Greenwich,0,Glenville School
Cooper and Meyer,Write-In,President,,Greenwich,0,Glenville School
Cummings and Romanoff,Write-In,President,,Greenwich,0,Glenville School
Cummings and Romanoff,Write-In,President,,Greenwich,0,Glenville School
Deame and Long,Write-In,President,,Greenwich,0,Glenville School
Deame and Long,Write-In,President,,Greenwich,0,Glenville School
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,Glenville School
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,Glenville School
Evans and Fitch,Write-In,President,,Greenwich,0,Glenville School
Evans and Fitch,Write-In,President,,Greenwich,0,Glenville School
Fox and Kushner,Write-In,President,,Greenwich,0,Glenville School
Fox and Kushner,Write-In,President,,Greenwich,0,Glenville School
Hoefling and Schulin,Write-In,President,,Greenwich,0,Glenville School
Hoefling and Schulin,Write-In,President,,Greenwich,0,Glenville School
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,Glenville School
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,Glenville School
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,Glenville School
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,Glenville School
La Riva and Puryear,Write-In,President,,Greenwich,0,Glenville School
La Riva and Puryear,Write-In,President,,Greenwich,0,Glenville School
Maldonado and Terranova,Write-In,President,,Greenwich,0,Glenville School
Maldonado and Terranova,Write-In,President,,Greenwich,0,Glenville School
McMullin and Johnson,Write-In,President,,Greenwich,0,Glenville School
McMullin and Johnson,Write-In,President,,Greenwich,0,Glenville School
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,Glenville School
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,Glenville School
Skewes and Lacy,Write-In,President,,Greenwich,0,Glenville School
Skewes and Lacy,Write-In,President,,Greenwich,0,Glenville School
Smith and White,Write-In,President,,Greenwich,0,Glenville School
Smith and White,Write-In,President,,Greenwich,0,Glenville School
Wu and Wu,Write-In,President,,Greenwich,0,Glenville School
Wu and Wu,Write-In,President,,Greenwich,0,Glenville School
Clinton and Kaine,Democratic Party,President,,Greenwich,561,Greenwich High School
Trump and Pence,Republican Party,President,,Greenwich,410,Greenwich High School
Johnson and Weld,Libertarian Party,President,,Greenwich,34,Greenwich High School
Stein and Baraka,Green Party,President,,Greenwich,6,Greenwich High School
Basiago and Kinnison,Write-In,President,,Greenwich,0,Greenwich High School
Blumenthal and Blair,Write-In,President,,Greenwich,0,Greenwich High School
Buchanan and Washington,Write-In,President,,Greenwich,0,Greenwich High School
Castle and Bradley,Write-In,President,,Greenwich,0,Greenwich High School
Cooper and Meyer,Write-In,President,,Greenwich,0,Greenwich High School
Cummings and Romanoff,Write-In,President,,Greenwich,0,Greenwich High School
Deame and Long,Write-In,President,,Greenwich,0,Greenwich High School
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,Greenwich High School
Evans and Fitch,Write-In,President,,Greenwich,0,Greenwich High School
Fox and Kushner,Write-In,President,,Greenwich,0,Greenwich High School
Hoefling and Schulin,Write-In,President,,Greenwich,0,Greenwich High School
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,Greenwich High School
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,Greenwich High School
La Riva and Puryear,Write-In,President,,Greenwich,0,Greenwich High School
Maldonado and Terranova,Write-In,President,,Greenwich,0,Greenwich High School
McMullin and Johnson,Write-In,President,,Greenwich,2,Greenwich High School
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,Greenwich High School
Skewes and Lacy,Write-In,President,,Greenwich,0,Greenwich High School
Smith and White,Write-In,President,,Greenwich,0,Greenwich High School
Wu and Wu,Write-In,President,,Greenwich,0,Greenwich High School
Clinton and Kaine,Democratic Party,President,,Greenwich,990,Greenwich High School 7a
Trump and Pence,Republican Party,President,,Greenwich,618,Greenwich High School 7a
Johnson and Weld,Libertarian Party,President,,Greenwich,75,Greenwich High School 7a
Stein and Baraka,Green Party,President,,Greenwich,12,Greenwich High School 7a
Basiago and Kinnison,Write-In,President,,Greenwich,0,Greenwich High School 7a
Blumenthal and Blair,Write-In,President,,Greenwich,0,Greenwich High School 7a
Buchanan and Washington,Write-In,President,,Greenwich,0,Greenwich High School 7a
Castle and Bradley,Write-In,President,,Greenwich,0,Greenwich High School 7a
Cooper and Meyer,Write-In,President,,Greenwich,4,Greenwich High School 7a
Cummings and Romanoff,Write-In,President,,Greenwich,0,Greenwich High School 7a
Deame and Long,Write-In,President,,Greenwich,0,Greenwich High School 7a
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,Greenwich High School 7a
Evans and Fitch,Write-In,President,,Greenwich,0,Greenwich High School 7a
Fox and Kushner,Write-In,President,,Greenwich,0,Greenwich High School 7a
Hoefling and Schulin,Write-In,President,,Greenwich,0,Greenwich High School 7a
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,Greenwich High School 7a
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,Greenwich High School 7a
La Riva and Puryear,Write-In,President,,Greenwich,0,Greenwich High School 7a
Maldonado and Terranova,Write-In,President,,Greenwich,0,Greenwich High School 7a
McMullin and Johnson,Write-In,President,,Greenwich,4,Greenwich High School 7a
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,Greenwich High School 7a
Skewes and Lacy,Write-In,President,,Greenwich,0,Greenwich High School 7a
Smith and White,Write-In,President,,Greenwich,0,Greenwich High School 7a
Wu and Wu,Write-In,President,,Greenwich,0,Greenwich High School 7a
Clinton and Kaine,Democratic Party,President,,Greenwich,1046,Greenwich Town Hall
Trump and Pence,Republican Party,President,,Greenwich,804,Greenwich Town Hall
Johnson and Weld,Libertarian Party,President,,Greenwich,96,Greenwich Town Hall
Stein and Baraka,Green Party,President,,Greenwich,23,Greenwich Town Hall
Basiago and Kinnison,Write-In,President,,Greenwich,0,Greenwich Town Hall
Blumenthal and Blair,Write-In,President,,Greenwich,0,Greenwich Town Hall
Buchanan and Washington,Write-In,President,,Greenwich,0,Greenwich Town Hall
Castle and Bradley,Write-In,President,,Greenwich,0,Greenwich Town Hall
Cooper and Meyer,Write-In,President,,Greenwich,0,Greenwich Town Hall
Cummings and Romanoff,Write-In,President,,Greenwich,0,Greenwich Town Hall
Deame and Long,Write-In,President,,Greenwich,0,Greenwich Town Hall
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,Greenwich Town Hall
Evans and Fitch,Write-In,President,,Greenwich,3,Greenwich Town Hall
Fox and Kushner,Write-In,President,,Greenwich,0,Greenwich Town Hall
Hoefling and Schulin,Write-In,President,,Greenwich,0,Greenwich Town Hall
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,Greenwich Town Hall
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,Greenwich Town Hall
La Riva and Puryear,Write-In,President,,Greenwich,0,Greenwich Town Hall
Maldonado and Terranova,Write-In,President,,Greenwich,0,Greenwich Town Hall
McMullin and Johnson,Write-In,President,,Greenwich,2,Greenwich Town Hall
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,Greenwich Town Hall
Skewes and Lacy,Write-In,President,,Greenwich,0,Greenwich Town Hall
Smith and White,Write-In,President,,Greenwich,0,Greenwich Town Hall
Wu and Wu,Write-In,President,,Greenwich,0,Greenwich Town Hall
Clinton and Kaine,Democratic Party,President,,Greenwich,1339,Julian Curtiss School
Trump and Pence,Republican Party,President,,Greenwich,707,Julian Curtiss School
Johnson and Weld,Libertarian Party,President,,Greenwich,59,Julian Curtiss School
Stein and Baraka,Green Party,President,,Greenwich,17,Julian Curtiss School
Basiago and Kinnison,Write-In,President,,Greenwich,0,Julian Curtiss School
Blumenthal and Blair,Write-In,President,,Greenwich,0,Julian Curtiss School
Buchanan and Washington,Write-In,President,,Greenwich,0,Julian Curtiss School
Castle and Bradley,Write-In,President,,Greenwich,0,Julian Curtiss School
Cooper and Meyer,Write-In,President,,Greenwich,3,Julian Curtiss School
Cummings and Romanoff,Write-In,President,,Greenwich,0,Julian Curtiss School
Deame and Long,Write-In,President,,Greenwich,0,Julian Curtiss School
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,Julian Curtiss School
Evans and Fitch,Write-In,President,,Greenwich,0,Julian Curtiss School
Fox and Kushner,Write-In,President,,Greenwich,0,Julian Curtiss School
Hoefling and Schulin,Write-In,President,,Greenwich,0,Julian Curtiss School
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,Julian Curtiss School
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,Julian Curtiss School
La Riva and Puryear,Write-In,President,,Greenwich,0,Julian Curtiss School
Maldonado and Terranova,Write-In,President,,Greenwich,0,Julian Curtiss School
McMullin and Johnson,Write-In,President,,Greenwich,3,Julian Curtiss School
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,Julian Curtiss School
Skewes and Lacy,Write-In,President,,Greenwich,0,Julian Curtiss School
Smith and White,Write-In,President,,Greenwich,0,Julian Curtiss School
Wu and Wu,Write-In,President,,Greenwich,0,Julian Curtiss School
Clinton and Kaine,Democratic Party,President,,Greenwich,250,Julian Curtiss School 1a
Trump and Pence,Republican Party,President,,Greenwich,168,Julian Curtiss School 1a
Johnson and Weld,Libertarian Party,President,,Greenwich,3,Julian Curtiss School 1a
Stein and Baraka,Green Party,President,,Greenwich,2,Julian Curtiss School 1a
Basiago and Kinnison,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Blumenthal and Blair,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Buchanan and Washington,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Castle and Bradley,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Cooper and Meyer,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Cummings and Romanoff,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Deame and Long,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Evans and Fitch,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Fox and Kushner,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Hoefling and Schulin,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
La Riva and Puryear,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Maldonado and Terranova,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
McMullin and Johnson,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Skewes and Lacy,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Smith and White,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Wu and Wu,Write-In,President,,Greenwich,0,Julian Curtiss School 1a
Clinton and Kaine,Democratic Party,President,,Greenwich,1012,New Lebanon School
Trump and Pence,Republican Party,President,,Greenwich,587,New Lebanon School
Johnson and Weld,Libertarian Party,President,,Greenwich,31,New Lebanon School
Stein and Baraka,Green Party,President,,Greenwich,12,New Lebanon School
Basiago and Kinnison,Write-In,President,,Greenwich,0,New Lebanon School
Blumenthal and Blair,Write-In,President,,Greenwich,0,New Lebanon School
Buchanan and Washington,Write-In,President,,Greenwich,0,New Lebanon School
Castle and Bradley,Write-In,President,,Greenwich,0,New Lebanon School
Cooper and Meyer,Write-In,President,,Greenwich,0,New Lebanon School
Cummings and Romanoff,Write-In,President,,Greenwich,0,New Lebanon School
Deame and Long,Write-In,President,,Greenwich,0,New Lebanon School
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,New Lebanon School
Evans and Fitch,Write-In,President,,Greenwich,0,New Lebanon School
Fox and Kushner,Write-In,President,,Greenwich,0,New Lebanon School
Hoefling and Schulin,Write-In,President,,Greenwich,0,New Lebanon School
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,New Lebanon School
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,New Lebanon School
La Riva and Puryear,Write-In,President,,Greenwich,0,New Lebanon School
Maldonado and Terranova,Write-In,President,,Greenwich,0,New Lebanon School
McMullin and Johnson,Write-In,President,,Greenwich,0,New Lebanon School
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,New Lebanon School
Skewes and Lacy,Write-In,President,,Greenwich,0,New Lebanon School
Smith and White,Write-In,President,,Greenwich,0,New Lebanon School
Wu and Wu,Write-In,President,,Greenwich,0,New Lebanon School
Clinton and Kaine,Democratic Party,President,,Greenwich,339,New Lebanon School 4a
Trump and Pence,Republican Party,President,,Greenwich,322,New Lebanon School 4a
Johnson and Weld,Libertarian Party,President,,Greenwich,11,New Lebanon School 4a
Stein and Baraka,Green Party,President,,Greenwich,6,New Lebanon School 4a
Basiago and Kinnison,Write-In,President,,Greenwich,0,New Lebanon School 4a
Blumenthal and Blair,Write-In,President,,Greenwich,0,New Lebanon School 4a
Buchanan and Washington,Write-In,President,,Greenwich,0,New Lebanon School 4a
Castle and Bradley,Write-In,President,,Greenwich,0,New Lebanon School 4a
Cooper and Meyer,Write-In,President,,Greenwich,0,New Lebanon School 4a
Cummings and Romanoff,Write-In,President,,Greenwich,0,New Lebanon School 4a
Deame and Long,Write-In,President,,Greenwich,0,New Lebanon School 4a
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,New Lebanon School 4a
Evans and Fitch,Write-In,President,,Greenwich,0,New Lebanon School 4a
Fox and Kushner,Write-In,President,,Greenwich,0,New Lebanon School 4a
Hoefling and Schulin,Write-In,President,,Greenwich,0,New Lebanon School 4a
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,New Lebanon School 4a
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,New Lebanon School 4a
La Riva and Puryear,Write-In,President,,Greenwich,0,New Lebanon School 4a
Maldonado and Terranova,Write-In,President,,Greenwich,0,New Lebanon School 4a
McMullin and Johnson,Write-In,President,,Greenwich,0,New Lebanon School 4a
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,New Lebanon School 4a
Skewes and Lacy,Write-In,President,,Greenwich,0,New Lebanon School 4a
Smith and White,Write-In,President,,Greenwich,0,New Lebanon School 4a
Wu and Wu,Write-In,President,,Greenwich,0,New Lebanon School 4a
Clinton and Kaine,Democratic Party,President,,Greenwich,1564,North Mianus School
Trump and Pence,Republican Party,President,,Greenwich,1236,North Mianus School
Johnson and Weld,Libertarian Party,President,,Greenwich,91,North Mianus School
Stein and Baraka,Green Party,President,,Greenwich,33,North Mianus School
Basiago and Kinnison,Write-In,President,,Greenwich,0,North Mianus School
Blumenthal and Blair,Write-In,President,,Greenwich,0,North Mianus School
Buchanan and Washington,Write-In,President,,Greenwich,0,North Mianus School
Castle and Bradley,Write-In,President,,Greenwich,1,North Mianus School
Cooper and Meyer,Write-In,President,,Greenwich,0,North Mianus School
Cummings and Romanoff,Write-In,President,,Greenwich,0,North Mianus School
Deame and Long,Write-In,President,,Greenwich,0,North Mianus School
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,North Mianus School
Evans and Fitch,Write-In,President,,Greenwich,0,North Mianus School
Fox and Kushner,Write-In,President,,Greenwich,0,North Mianus School
Hoefling and Schulin,Write-In,President,,Greenwich,0,North Mianus School
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,North Mianus School
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,North Mianus School
La Riva and Puryear,Write-In,President,,Greenwich,0,North Mianus School
Maldonado and Terranova,Write-In,President,,Greenwich,0,North Mianus School
McMullin and Johnson,Write-In,President,,Greenwich,0,North Mianus School
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,North Mianus School
Skewes and Lacy,Write-In,President,,Greenwich,0,North Mianus School
Smith and White,Write-In,President,,Greenwich,0,North Mianus School
Wu and Wu,Write-In,President,,Greenwich,0,North Mianus School
Clinton and Kaine,Democratic Party,President,,Greenwich,1141,North Street School
Trump and Pence,Republican Party,President,,Greenwich,795,North Street School
Johnson and Weld,Libertarian Party,President,,Greenwich,109,North Street School
Stein and Baraka,Green Party,President,,Greenwich,11,North Street School
Basiago and Kinnison,Write-In,President,,Greenwich,0,North Street School
Blumenthal and Blair,Write-In,President,,Greenwich,0,North Street School
Buchanan and Washington,Write-In,President,,Greenwich,0,North Street School
Castle and Bradley,Write-In,President,,Greenwich,0,North Street School
Cooper and Meyer,Write-In,President,,Greenwich,0,North Street School
Cummings and Romanoff,Write-In,President,,Greenwich,0,North Street School
Deame and Long,Write-In,President,,Greenwich,0,North Street School
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,North Street School
Evans and Fitch,Write-In,President,,Greenwich,0,North Street School
Fox and Kushner,Write-In,President,,Greenwich,0,North Street School
Hoefling and Schulin,Write-In,President,,Greenwich,0,North Street School
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,North Street School
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,North Street School
La Riva and Puryear,Write-In,President,,Greenwich,0,North Street School
Maldonado and Terranova,Write-In,President,,Greenwich,0,North Street School
McMullin and Johnson,Write-In,President,,Greenwich,2,North Street School
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,North Street School
Skewes and Lacy,Write-In,President,,Greenwich,0,North Street School
Smith and White,Write-In,President,,Greenwich,0,North Street School
Wu and Wu,Write-In,President,,Greenwich,0,North Street School
Clinton and Kaine,Democratic Party,President,,Greenwich,549,North Street School 11a
Trump and Pence,Republican Party,President,,Greenwich,499,North Street School 11a
Johnson and Weld,Libertarian Party,President,,Greenwich,50,North Street School 11a
Stein and Baraka,Green Party,President,,Greenwich,5,North Street School 11a
Basiago and Kinnison,Write-In,President,,Greenwich,0,North Street School 11a
Blumenthal and Blair,Write-In,President,,Greenwich,0,North Street School 11a
Buchanan and Washington,Write-In,President,,Greenwich,0,North Street School 11a
Castle and Bradley,Write-In,President,,Greenwich,0,North Street School 11a
Cooper and Meyer,Write-In,President,,Greenwich,0,North Street School 11a
Cummings and Romanoff,Write-In,President,,Greenwich,0,North Street School 11a
Deame and Long,Write-In,President,,Greenwich,0,North Street School 11a
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,North Street School 11a
Evans and Fitch,Write-In,President,,Greenwich,0,North Street School 11a
Fox and Kushner,Write-In,President,,Greenwich,0,North Street School 11a
Hoefling and Schulin,Write-In,President,,Greenwich,0,North Street School 11a
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,North Street School 11a
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,North Street School 11a
La Riva and Puryear,Write-In,President,,Greenwich,0,North Street School 11a
Maldonado and Terranova,Write-In,President,,Greenwich,0,North Street School 11a
McMullin and Johnson,Write-In,President,,Greenwich,5,North Street School 11a
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,North Street School 11a
Skewes and Lacy,Write-In,President,,Greenwich,0,North Street School 11a
Smith and White,Write-In,President,,Greenwich,0,North Street School 11a
Wu and Wu,Write-In,President,,Greenwich,0,North Street School 11a
Clinton and Kaine,Democratic Party,President,,Greenwich,1462,Old Greenwich School
Trump and Pence,Republican Party,President,,Greenwich,645,Old Greenwich School
Johnson and Weld,Libertarian Party,President,,Greenwich,74,Old Greenwich School
Stein and Baraka,Green Party,President,,Greenwich,16,Old Greenwich School
Basiago and Kinnison,Write-In,President,,Greenwich,0,Old Greenwich School
Blumenthal and Blair,Write-In,President,,Greenwich,0,Old Greenwich School
Buchanan and Washington,Write-In,President,,Greenwich,0,Old Greenwich School
Castle and Bradley,Write-In,President,,Greenwich,0,Old Greenwich School
Cooper and Meyer,Write-In,President,,Greenwich,0,Old Greenwich School
Cummings and Romanoff,Write-In,President,,Greenwich,0,Old Greenwich School
Deame and Long,Write-In,President,,Greenwich,0,Old Greenwich School
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,Old Greenwich School
Evans and Fitch,Write-In,President,,Greenwich,0,Old Greenwich School
Fox and Kushner,Write-In,President,,Greenwich,0,Old Greenwich School
Hoefling and Schulin,Write-In,President,,Greenwich,0,Old Greenwich School
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,Old Greenwich School
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,Old Greenwich School
La Riva and Puryear,Write-In,President,,Greenwich,0,Old Greenwich School
Maldonado and Terranova,Write-In,President,,Greenwich,0,Old Greenwich School
McMullin and Johnson,Write-In,President,,Greenwich,0,Old Greenwich School
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,Old Greenwich School
Skewes and Lacy,Write-In,President,,Greenwich,0,Old Greenwich School
Smith and White,Write-In,President,,Greenwich,0,Old Greenwich School
Wu and Wu,Write-In,President,,Greenwich,0,Old Greenwich School
Clinton and Kaine,Democratic Party,President,,Greenwich,243,Old Greenwich School 6a
Trump and Pence,Republican Party,President,,Greenwich,133,Old Greenwich School 6a
Johnson and Weld,Libertarian Party,President,,Greenwich,12,Old Greenwich School 6a
Stein and Baraka,Green Party,President,,Greenwich,9,Old Greenwich School 6a
Basiago and Kinnison,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Blumenthal and Blair,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Buchanan and Washington,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Castle and Bradley,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Cooper and Meyer,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Cummings and Romanoff,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Deame and Long,Write-In,President,,Greenwich,0,Old Greenwich School 6a
De La Fuente and Steinberg,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Evans and Fitch,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Fox and Kushner,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Hoefling and Schulin,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Klojzy Jr. and LeMay,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Kotlikoff and Leamer,Write-In,President,,Greenwich,0,Old Greenwich School 6a
La Riva and Puryear,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Maldonado and Terranova,Write-In,President,,Greenwich,0,Old Greenwich School 6a
McMullin and Johnson,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Schoenke and Mitchell Jr.,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Skewes and Lacy,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Smith and White,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Wu and Wu,Write-In,President,,Greenwich,0,Old Greenwich School 6a
Clinton and Kaine,Democratic Party,President,,Greenwich,798,Riverside School
Trump and Pence,Republican Party,President,,Greenwich,441,Riverside School
Johnson and Weld,Libertarian Party,President,,Greenwich,50,Riverside School
Stein and Baraka,Green Party,President,,Greenwich,8,Riverside School
Basiago and Kinnison,Write-In,President,,Greenwich,0,Riverside School
