county,precinct,office,district,party,candidate,election_day,absentee,edr,votes
Fairfield,Norwalk 142A Fox Run,Treasurer,,WF,Denise Nappier,50,3,3,56
Fairfield,Norwalk 142A Fox Run,Treasurer,,write-in,write-in,1,0,0,1
Fairfield,Norwalk 142B Ponus,Treasurer,,Rep,Tim Herbst,988,44,8,1040
Fairfield,Norwalk 142B Ponus,Treasurer,,Ind,Tim Herbst,45,0,0,45
Fairfield,Norwalk 142B Ponus,Treasurer,,Dem,Denise Nappier,1033,43,12,1088
Fairfield,Norwalk 142B Ponus,Treasurer,,WF,Denise Nappier,44,3,1,48
Fairfield,Norwalk 142B Ponus,Treasurer,,write-in,write-in,2,0,0,2
Fairfield,Norwalk 142C West Rocks,Treasurer,,Rep,Tim Herbst,788,38,7,833
Fairfield,Norwalk 142C West Rocks,Treasurer,,Ind,Tim Herbst,43,1,1,45
Fairfield,Norwalk 142C West Rocks,Treasurer,,Dem,Denise Nappier,851,43,12,906
Fairfield,Norwalk 142C West Rocks,Treasurer,,WF,Denise Nappier,44,2,3,49
Fairfield,Norwalk 142C West Rocks,Treasurer,,write-in,write-in,0,0,0,0
Fairfield,Norwalk 141A Roton,Treasurer,,Rep,Tim Herbst,853,65,11,929
Fairfield,Norwalk 141A Roton,Treasurer,,Ind,Tim Herbst,32,3,0,35
Fairfield,Norwalk 141A Roton,Treasurer,,Dem,Denise Nappier,930,62,11,1003
Fairfield,Norwalk 141A Roton,Treasurer,,WF,Denise Nappier,22,0,2,24
Fairfield,Norwalk 141A Roton,Treasurer,,write-in,write-in,0,0,0,0
Fairfield,Norwalk 143A Nathan Hale,Treasurer,,Rep,Tim Herbst,646,25,11,682
Fairfield,Norwalk 143A Nathan Hale,Treasurer,,Ind,Tim Herbst,36,0,0,36
Fairfield,Norwalk 143A Nathan Hale,Treasurer,,Dem,Denise Nappier,736,25,8,769
Fairfield,Norwalk 143A Nathan Hale,Treasurer,,WF,Denise Nappier,45,0,1,46
Fairfield,Norwalk 143A Nathan Hale,Treasurer,,write-in,write-in,0,0,0,0
Fairfield,Norwalk 143A Nathan Hale,Treasurer,,Rep,Tim Herbst,933,46,1,980
Fairfield,Norwalk 143B Wolfpit,Treasurer,,Ind,Tim Herbst,39,2,0,41
Fairfield,Norwalk 143B Wolfpit,Treasurer,,Dem,Denise Nappier,825,23,6,854
Fairfield,Norwalk 143B Wolfpit,Treasurer,,WF,Denise Nappier,45,2,0,47
Fairfield,Norwalk 143B Wolfpit,Treasurer,,write-in,write-in,1,0,0,1
Fairfield,Norwalk 137A Marvin,Comptroller,,Rep,Sharon McLaughlin,1052,63,15,1128
Fairfield,Norwalk 137A Marvin,Comptroller,,Ind,Sharon McLaughlin,52,4,1,57
Fairfield,Norwalk 137A Marvin,Comptroller,,Dem,Kevin Lembo,1323,63,28,1403
Fairfield,Norwalk 137A Marvin,Comptroller,,WF,Kevin Lembo,72,0,1,72
Fairfield,Norwalk 137A Marvin,Comptroller,,Green,Rolf Maurer,47,1,2,50
Fairfield,Norwalk 137A Marvin,Comptroller,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 137B St Marys,Comptroller,,Rep,Sharon McLaughlin,231,6,6,241
Fairfield,Norwalk 137B St Marys,Comptroller,,Ind,Sharon McLaughlin,23,1,0,24
Fairfield,Norwalk 137B St Marys,Comptroller,,Dem,Kevin Lembo,567,18,16,589
Fairfield,Norwalk 137B St Marys,Comptroller,,WF,Kevin Lembo,21,2,1,24
Fairfield,Norwalk 137B St Marys,Comptroller,,Green,Rolf Maurer,15,0,1,16
Fairfield,Norwalk 137B St Marys,Comptroller,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 137C Tracey,Comptroller,,Rep,Sharon McLaughlin,750,33,11,794
Fairfield,Norwalk 137C Tracey,Comptroller,,Ind,Sharon McLaughlin,43,2,1,46
Fairfield,Norwalk 137C Tracey,Comptroller,,Dem,Kevin Lembo,1048,33,15,1096
Fairfield,Norwalk 137C Tracey,Comptroller,,WF,Kevin Lembo,66,2,4,72
Fairfield,Norwalk 137C Tracey,Comptroller,,Green,Rolf Maurer,33,0,1,34
Fairfield,Norwalk 137C Tracey,Comptroller,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 140A Kendall,Comptroller,,Rep,Sharon McLaughlin,388,16,3,407
Fairfield,Norwalk 140A Kendall,Comptroller,,Ind,Sharon McLaughlin,27,1,0,28
Fairfield,Norwalk 140A Kendall,Comptroller,,Dem,Kevin Lembo,791,14,8,795
Fairfield,Norwalk 140A Kendall,Comptroller,,WF,Kevin Lembo,31,0,0,30
Fairfield,Norwalk 140A Kendall,Comptroller,,Green,Rolf Maurer,26,1,1,28
Fairfield,Norwalk 140A Kendall,Comptroller,,Write-in,write-in,2,0,0,2
Fairfield,Norwalk 140B Columbus,Comptroller,,Rep,Sharon McLaughlin,219,8,4,231
Fairfield,Norwalk 140B Columbus,Comptroller,,Ind,Sharon McLaughlin,25,1,1,27
Fairfield,Norwalk 140B Columbus,Comptroller,,Dem,Kevin Lembo,1089,47,17,1153
Fairfield,Norwalk 140B Columbus,Comptroller,,WF,Kevin Lembo,40,8,1,49
Fairfield,Norwalk 140B Columbus,Comptroller,,Green,Rolf Maurer,26,0,1,27
Fairfield,Norwalk 140B Columbus,Comptroller,,Write-in,write-in,1,0,0,1
Fairfield,Norwalk 140C Nathaniel Ely,Comptroller,,Rep,Sharon McLaughlin,155,12,1,168
Fairfield,Norwalk 140C Nathaniel Ely,Comptroller,,Ind,Sharon McLaughlin,8,0,0,8
Fairfield,Norwalk 140C Nathaniel Ely,Comptroller,,Dem,Kevin Lembo,447,11,7,465
Fairfield,Norwalk 140C Nathaniel Ely,Comptroller,,WF,Kevin Lembo,21,3,0,24
Fairfield,Norwalk 140C Nathaniel Ely,Comptroller,,Green,Rolf Maurer,8,0,0,8
Fairfield,Norwalk 140C Nathaniel Ely,Comptroller,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 142A Fox Run,Comptroller,,Rep,Sharon McLaughlin,1080,61,9,1150
Fairfield,Norwalk 142A Fox Run,Comptroller,,Ind,Sharon McLaughlin,61,3,2,66
Fairfield,Norwalk 142A Fox Run,Comptroller,,Dem,Kevin Lembo,975,49,15,1039
Fairfield,Norwalk 142A Fox Run,Comptroller,,WF,Kevin Lembo,51,1,2,54
Fairfield,Norwalk 142A Fox Run,Comptroller,,Green,Rolf Maurer,42,2,2,46
Fairfield,Norwalk 142A Fox Run,Comptroller,,Write-in,write-in,1,0,0,1
Fairfield,Norwalk 142B Ponus,Comptroller,,Rep,Sharon McLaughlin,1015,46,9,1070
Fairfield,Norwalk 142B Ponus,Comptroller,,Ind,Sharon McLaughlin,55,0,0,55
Fairfield,Norwalk 142B Ponus,Comptroller,,Dem,Kevin Lembo,947,38,10,986
Fairfield,Norwalk 142B Ponus,Comptroller,,WF,Kevin Lembo,32,3,1,36
Fairfield,Norwalk 142B Ponus,Comptroller,,Green,Rolf Maurer,37,0,2,39
Fairfield,Norwalk 142B Ponus,Comptroller,,Write-in,write-in,2,0,0,2
Fairfield,Norwalk 142C West Rocks,Comptroller,,Rep,Sharon McLaughlin,807,41,9,857
Fairfield,Norwalk 142C West Rocks,Comptroller,,Ind,Sharon McLaughlin,48,1,0,49
Fairfield,Norwalk 142C West Rocks,Comptroller,,Dem,Kevin Lembo,788,37,11,836
Fairfield,Norwalk 142C West Rocks,Comptroller,,WF,Kevin Lembo,40,1,2,43
Fairfield,Norwalk 142C West Rocks,Comptroller,,Green,Rolf Maurer,25,1,1,27
Fairfield,Norwalk 142C West Rocks,Comptroller,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 141A Roton,Comptroller,,Rep,Sharon McLaughlin,854,64,12,930
Fairfield,Norwalk 141A Roton,Comptroller,,Ind,Sharon McLaughlin,30,3,1,34
Fairfield,Norwalk 141A Roton,Comptroller,,Dem,Kevin Lembo,884,62,10,956
Fairfield,Norwalk 141A Roton,Comptroller,,WF,Kevin Lembo,22,0,1,23
Fairfield,Norwalk 141A Roton,Comptroller,,Green,Rolf Maurer,26,0,0,26
Fairfield,Norwalk 141A Roton,Comptroller,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 143A Nathan Hale,Comptroller,,Rep,Sharon McLaughlin,663,26,10,699
Fairfield,Norwalk 143A Nathan Hale,Comptroller,,Ind,Sharon McLaughlin,38,0,0,38
Fairfield,Norwalk 143A Nathan Hale,Comptroller,,Dem,Kevin Lembo,681,25,9,715
Fairfield,Norwalk 143A Nathan Hale,Comptroller,,WF,Kevin Lembo,31,0,1,32
Fairfield,Norwalk 143A Nathan Hale,Comptroller,,Green,Rolf Maurer,25,0,0,25
Fairfield,Norwalk 143A Nathan Hale,Comptroller,,Write-in,write-in,1,0,0,1
Fairfield,Norwalk 143B Wolfpit,Comptroller,,Rep,Sharon McLaughlin,969,45,2,1016
Fairfield,Norwalk 143B Wolfpit,Comptroller,,Ind,Sharon McLaughlin,40,1,0,41
Fairfield,Norwalk 143B Wolfpit,Comptroller,,Dem,Kevin Lembo,762,22,5,782
Fairfield,Norwalk 143B Wolfpit,Comptroller,,WF,Kevin Lembo,31,0,0,31
Fairfield,Norwalk 143B Wolfpit,Comptroller,,Green,Rolf Maurer,29,4,0,33
Fairfield,Norwalk 143B Wolfpit,Comptroller,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 137A Marvin,Attorney General,,Rep,Kie Westby,960,57,16,1033
Fairfield,Norwalk 137A Marvin,Attorney General,,Ind,Kie Westby,46,2,2,50
Fairfield,Norwalk 137A Marvin,Attorney General,,Dem,George Jepsen,1430,71,29,1530
Fairfield,Norwalk 137A Marvin,Attorney General,,WF,George Jepsen,81,1,1,83
Fairfield,Norwalk 137A Marvin,Attorney General,,Green,Stephen Fournier,42,1,2,45
Fairfield,Norwalk 137A Marvin,Attorney General,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 137B St Marys,Attorney General,,Rep,Kie Westby,204,4,6,214
Fairfield,Norwalk 137B St Marys,Attorney General,,Ind,Kie Westby,12,0,0,12
Fairfield,Norwalk 137B St Marys,Attorney General,,Dem,George Jepsen,597,18,17,632
Fairfield,Norwalk 137B St Marys,Attorney General,,WF,George Jepsen,22,2,0,24
Fairfield,Norwalk 137B St Marys,Attorney General,,Green,Stephen Fournier,25,3,1,29
Fairfield,Norwalk 137B St Marys,Attorney General,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 137C Tracey,Attorney General,,Rep,Kie Westby,653,27,11,691
Fairfield,Norwalk 137C Tracey,Attorney General,,Ind,Kie Westby,30,2,0,32
Fairfield,Norwalk 137C Tracey,Attorney General,,Dem,George Jepsen,1183,39,16,1238
Fairfield,Norwalk 137C Tracey,Attorney General,,WF,George Jepsen,66,2,3,71
Fairfield,Norwalk 137C Tracey,Attorney General,,Green,Stephen Fournier,31,0,1,32
Fairfield,Norwalk 137C Tracey,Attorney General,,Write-in,write-in,2,0,0,2
Fairfield,Norwalk 140A Kendall,Attorney General,,Rep,Kie Westby,337,14,4,355
Fairfield,Norwalk 140A Kendall,Attorney General,,Ind,Kie Westby,22,1,0,23
Fairfield,Norwalk 140A Kendall,Attorney General,,Dem,George Jepsen,852,16,8,876
Fairfield,Norwalk 140A Kendall,Attorney General,,WF,George Jepsen,36,0,0,36
Fairfield,Norwalk 140A Kendall,Attorney General,,Green,Stephen Fournier,23,2,1,26
Fairfield,Norwalk 140A Kendall,Attorney General,,Write-in,write-in,2,0,0,2
Fairfield,Norwalk 140B Columbus,Attorney General,,Rep,Kie Westby,206,7,4,217
Fairfield,Norwalk 140B Columbus,Attorney General,,Ind,Kie Westby,16,1,1,18
Fairfield,Norwalk 140B Columbus,Attorney General,,Dem,George Jepsen,1124,48,18,1190
Fairfield,Norwalk 140B Columbus,Attorney General,,WF,George Jepsen,41,8,1,50
Fairfield,Norwalk 140B Columbus,Attorney General,,Green,Stephen Fournier,28,0,0,28
Fairfield,Norwalk 140B Columbus,Attorney General,,Write-in,write-in,1,0,0,1
Fairfield,Norwalk 140C Nathaniel Ely,Attorney General,,Rep,Kie Westby,141,11,1,153
Fairfield,Norwalk 140C Nathaniel Ely,Attorney General,,Ind,Kie Westby,4,0,0,4
Fairfield,Norwalk 140C Nathaniel Ely,Attorney General,,Dem,George Jepsen,459,13,7,461
Fairfield,Norwalk 140C Nathaniel Ely,Attorney General,,WF,George Jepsen,22,2,0,23
Fairfield,Norwalk 140C Nathaniel Ely,Attorney General,,Green,Stephen Fournier,8,0,0,8
Fairfield,Norwalk 140C Nathaniel Ely,Attorney General,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 142A Fox Run,Attorney General,,Rep,Kie Westby,965,56,9,1030
Fairfield,Norwalk 142A Fox Run,Attorney General,,Ind,Kie Westby,39,2,0,41
Fairfield,Norwalk 142A Fox Run,Attorney General,,Dem,George Jepsen,1119,55,17,1186
Fairfield,Norwalk 142A Fox Run,Attorney General,,WF,George Jepsen,59,2,2,63
Fairfield,Norwalk 142A Fox Run,Attorney General,,Green,Stephen Fournier,44,2,2,48
Fairfield,Norwalk 142A Fox Run,Attorney General,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 142B Ponus,Attorney General,,Rep,Kie Westby,922,43,7,972
Fairfield,Norwalk 142B Ponus,Attorney General,,Ind,Kie Westby,40,0,0,40
Fairfield,Norwalk 142B Ponus,Attorney General,,Dem,George Jepsen,1069,45,13,1127
Fairfield,Norwalk 142B Ponus,Attorney General,,WF,George Jepsen,36,2,1,39
Fairfield,Norwalk 142B Ponus,Attorney General,,Green,Stephen Fournier,42,0,1,43
Fairfield,Norwalk 142B Ponus,Attorney General,,Write-in,write-in,0,0,0,
Fairfield,Norwalk 142C West Rocks,Attorney General,,Rep,Kie Westby,730,35,8,772
Fairfield,Norwalk 142C West Rocks,Attorney General,,Ind,Kie Westby,31,1,1,33
Fairfield,Norwalk 142C West Rocks,Attorney General,,Dem,George Jepsen,896,42,12,944
Fairfield,Norwalk 142C West Rocks,Attorney General,,WF,George Jepsen,44,2,1,47
Fairfield,Norwalk 142C West Rocks,Attorney General,,Green,Stephen Fournier,27,1,1,29
Fairfield,Norwalk 142C West Rocks,Attorney General,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 141A Roton,Attorney General,,Rep,Kie Westby,788,64,9,861
Fairfield,Norwalk 141A Roton,Attorney General,,Ind,Kie Westby,28,3,0,31
Fairfield,Norwalk 141A Roton,Attorney General,,Dem,George Jepsen,965,63,13,1041
Fairfield,Norwalk 141A Roton,Attorney General,,WF,George Jepsen,26,0,1,27
Fairfield,Norwalk 141A Roton,Attorney General,,Green,Stephen Fournier,25,0,1,26
Fairfield,Norwalk 141A Roton,Attorney General,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 143A Nathan Hale,Attorney General,,Rep,Kie Westby,571,23,9,603
Fairfield,Norwalk 143A Nathan Hale,Attorney General,,Ind,Kie Westby,26,0,0,26
Fairfield,Norwalk 143A Nathan Hale,Attorney General,,Dem,George Jepsen,780,28,11,819
Fairfield,Norwalk 143A Nathan Hale,Attorney General,,WF,George Jepsen,35,0,0,35
Fairfield,Norwalk 143A Nathan Hale,Attorney General,,Green,Stephen Fournier,32,0,0,32
Fairfield,Norwalk 143A Nathan Hale,Attorney General,,Write-in,write-in,0,0,0,0
Fairfield,Norwalk 143B Wolfpit,Attorney General,,Rep,Kie Westby,867,41,1,909
Fairfield,Norwalk 143B Wolfpit,Attorney General,,Ind,Kie Westby,30,1,0,31
Fairfield,Norwalk 143B Wolfpit,Attorney General,,Dem,George Jepsen,886,28,6,914
Fairfield,Norwalk 143B Wolfpit,Attorney General,,WF,George Jepsen,39,0,0,39
Fairfield,Norwalk 143B Wolfpit,Attorney General,,Green,Stephen Fournier,32,3,0,35
Fairfield,Norwalk 143B Wolfpit,Attorney General,,Write-in,write-in,1,0,0,1
